GHS_Column,Pictogram_Code,Hazard_Meaning,Rank,Feature,Mean_Abs_SHAP,Mean_Signed_SHAP,Value_SHAP_Correlation,SHAP_Direction,What_The_Descriptor_Measures,Chemical_Interpretation,Matches_Chemical_Expectation
GHS01_Explosive,GHS01,Explosive (exploding bomb),1,MACCS_70,0.55366,-0.463924,0.8335,positive - a HIGHER value of this descriptor pushes the prediction towards HAZARDOUS,MACCS substructure key 70: matches SMARTS pattern [!#6;!#1]~[#7]~[!#6;!#1],"Explosivity comes from functional groups that store chemical energy and can release it without external oxygen - nitro, nitrate ester, azide, peroxide and strained-ring systems. A high nitrogen and oxygen count relative to carbon is the classic signature.",not evaluated by this check - it covers bulk physicochemical descriptors only; see Chemical Interpretation for this substructure's relevance
GHS01_Explosive,GHS01,Explosive (exploding bomb),2,MACCS_124,0.490891,-0.323515,0.9559,positive - a HIGHER value of this descriptor pushes the prediction towards HAZARDOUS,MACCS substructure key 124: matches SMARTS pattern [!#6;!#1]~[!#6;!#1],"Explosivity comes from functional groups that store chemical energy and can release it without external oxygen - nitro, nitrate ester, azide, peroxide and strained-ring systems. A high nitrogen and oxygen count relative to carbon is the classic signature.",not evaluated by this check - it covers bulk physicochemical descriptors only; see Chemical Interpretation for this substructure's relevance
GHS01_Explosive,GHS01,Explosive (exploding bomb),3,TPSA,0.275038,-0.269869,0.3653,positive - a HIGHER value of this descriptor pushes the prediction towards HAZARDOUS,topological polar surface area - the size of the polar region,"Explosivity comes from functional groups that store chemical energy and can release it without external oxygen - nitro, nitrate ester, azide, peroxide and strained-ring systems. A high nitrogen and oxygen count relative to carbon is the classic signature.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS01_Explosive,GHS01,Explosive (exploding bomb),4,MACCS_142,0.166226,-0.160253,0.7921,positive - a HIGHER value of this descriptor pushes the prediction towards HAZARDOUS,MACCS substructure key 142: matches SMARTS pattern [#7],"Explosivity comes from functional groups that store chemical energy and can release it without external oxygen - nitro, nitrate ester, azide, peroxide and strained-ring systems. A high nitrogen and oxygen count relative to carbon is the classic signature.",not evaluated by this check - it covers bulk physicochemical descriptors only; see Chemical Interpretation for this substructure's relevance
GHS01_Explosive,GHS01,Explosive (exploding bomb),5,MACCS_102,0.140569,-0.039449,0.9091,positive - a HIGHER value of this descriptor pushes the prediction towards HAZARDOUS,MACCS substructure key 102: matches SMARTS pattern [!#6;!#1]~[#8],"Explosivity comes from functional groups that store chemical energy and can release it without external oxygen - nitro, nitrate ester, azide, peroxide and strained-ring systems. A high nitrogen and oxygen count relative to carbon is the classic signature.",not evaluated by this check - it covers bulk physicochemical descriptors only; see Chemical Interpretation for this substructure's relevance
GHS02_Flammable,GHS02,Flammable (flame),1,BertzCT,0.649036,-0.375776,-0.4929,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,structural complexity,"Flammability tracks volatility and hydrocarbon content. Small, light, lipophilic molecules with few polar groups have low flash points; high polarity and hydrogen bonding raise the boiling point and reduce flammability.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS02_Flammable,GHS02,Flammable (flame),2,TPSA,0.540827,-0.349749,-0.2,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,topological polar surface area - the size of the polar region,"Flammability tracks volatility and hydrocarbon content. Small, light, lipophilic molecules with few polar groups have low flash points; high polarity and hydrogen bonding raise the boiling point and reduce flammability.",yes - this is a descriptor a chemist would expect to matter for this hazard
GHS02_Flammable,GHS02,Flammable (flame),3,LabuteASA,0.439609,-0.25814,-0.2497,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,approximate molecular surface area,"Flammability tracks volatility and hydrocarbon content. Small, light, lipophilic molecules with few polar groups have low flash points; high polarity and hydrogen bonding raise the boiling point and reduce flammability.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS02_Flammable,GHS02,Flammable (flame),4,NumHDonors,0.233505,-0.07345,-0.4765,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,"number of hydrogen-bond donors (OH, NH groups)","Flammability tracks volatility and hydrocarbon content. Small, light, lipophilic molecules with few polar groups have low flash points; high polarity and hydrogen bonding raise the boiling point and reduce flammability.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
GHS02_Flammable,GHS02,Flammable (flame),5,NHOHCount,0.181492,-0.073873,-0.37,negative - a HIGHER value of this descriptor pushes the prediction towards SAFE,number of NH and OH groups,"Flammability tracks volatility and hydrocarbon content. Small, light, lipophilic molecules with few polar groups have low flash points; high polarity and hydrogen bonding raise the boiling point and reduce flammability.",not among the classically expected bulk descriptors for this class; likely a secondary or class-specific contributor
