GHS_Column,Hazard_Meaning,Rank,Feature,Mean_Abs_SHAP,Mean_Signed_SHAP,Value_SHAP_Correlation,Direction,Description
GHS01_Explosive,Explosive (exploding bomb),1,MACCS_70,0.55366,-0.463924,0.8335,higher value -> more hazardous,MACCS substructure key 70: matches SMARTS pattern [!#6;!#1]~[#7]~[!#6;!#1]
GHS01_Explosive,Explosive (exploding bomb),2,MACCS_124,0.490891,-0.323515,0.9559,higher value -> more hazardous,MACCS substructure key 124: matches SMARTS pattern [!#6;!#1]~[!#6;!#1]
GHS01_Explosive,Explosive (exploding bomb),3,TPSA,0.275038,-0.269869,0.3653,higher value -> more hazardous,topological polar surface area - the size of the polar region
GHS01_Explosive,Explosive (exploding bomb),4,MACCS_142,0.166226,-0.160253,0.7921,higher value -> more hazardous,MACCS substructure key 142: matches SMARTS pattern [#7]
GHS01_Explosive,Explosive (exploding bomb),5,MACCS_102,0.140569,-0.039449,0.9091,higher value -> more hazardous,MACCS substructure key 102: matches SMARTS pattern [!#6;!#1]~[#8]
GHS01_Explosive,Explosive (exploding bomb),6,Chi2n,0.075281,-0.061007,-0.3611,higher value -> less hazardous,second-order connectivity index
GHS01_Explosive,Explosive (exploding bomb),7,Kappa3,0.070183,-0.062226,-0.1847,higher value -> less hazardous,third-order shape index - centrality of branching
GHS01_Explosive,Explosive (exploding bomb),8,MACCS_49,0.067073,-0.058121,0.5316,higher value -> more hazardous,MACCS substructure key 49: matches SMARTS pattern [!+0]
GHS01_Explosive,Explosive (exploding bomb),9,MACCS_148,0.060744,-0.005539,-0.7309,higher value -> less hazardous,MACCS substructure key 148: matches SMARTS pattern *~[!#6;!#1](~*)~*
GHS01_Explosive,Explosive (exploding bomb),10,MACCS_83,0.055498,-0.024283,-0.8867,higher value -> less hazardous,MACCS substructure key 83: matches SMARTS pattern [!#6;!#1]1~*~*~*~*~1
GHS01_Explosive,Explosive (exploding bomb),11,MACCS_90,0.045773,-0.044074,-0.9447,higher value -> less hazardous,"MACCS substructure key 90: matches SMARTS pattern [$([!#6;!#1;!H0]~*~*~[CH2]~*),$([!#6;!#1;!H0;R]1@[R]@[R]@[CH2;R]1),$([!#6;!#1;!H0]~[R]1@[R]@[CH2;R]1)]"
GHS01_Explosive,Explosive (exploding bomb),12,MACCS_156,0.035559,-0.020667,-0.7006,higher value -> less hazardous,MACCS substructure key 156: matches SMARTS pattern [#7]~*(~*)~*
GHS01_Explosive,Explosive (exploding bomb),13,Morgan_514,0.035028,-0.034336,-0.9803,higher value -> less hazardous,ECFP4 circular substructure bit 514 (radius 2 atom environment)
GHS01_Explosive,Explosive (exploding bomb),14,MACCS_154,0.034543,-0.025669,-0.6819,higher value -> less hazardous,MACCS substructure key 154: matches SMARTS pattern [#6]=[#8]
GHS01_Explosive,Explosive (exploding bomb),15,Morgan_128,0.030807,-0.01278,-0.8952,higher value -> less hazardous,ECFP4 circular substructure bit 128 (radius 2 atom environment)
GHS01_Explosive,Explosive (exploding bomb),16,MACCS_117,0.03029,-0.013108,-0.8458,higher value -> less hazardous,MACCS substructure key 117: matches SMARTS pattern [#7]~*~[#8]
GHS01_Explosive,Explosive (exploding bomb),17,MACCS_111,0.02967,-0.020643,-0.8479,higher value -> less hazardous,MACCS substructure key 111: matches SMARTS pattern [#7]~*~[CH2]~*
GHS01_Explosive,Explosive (exploding bomb),18,MACCS_121,0.029436,-0.021602,-0.8511,higher value -> less hazardous,MACCS substructure key 121: matches SMARTS pattern [#7;R]
GHS01_Explosive,Explosive (exploding bomb),19,MACCS_161,0.028044,-0.027391,0.6788,higher value -> more hazardous,MACCS substructure key 161: matches SMARTS pattern [#7]
GHS01_Explosive,Explosive (exploding bomb),20,NumHAcceptors,0.027608,-0.025232,0.3706,higher value -> more hazardous,"number of hydrogen-bond acceptors (O, N lone pairs)"
GHS02_Flammable,Flammable (flame),1,BertzCT,0.649036,-0.375776,-0.4929,higher value -> less hazardous,structural complexity
GHS02_Flammable,Flammable (flame),2,TPSA,0.540827,-0.349749,-0.2,higher value -> less hazardous,topological polar surface area - the size of the polar region
GHS02_Flammable,Flammable (flame),3,LabuteASA,0.439609,-0.25814,-0.2497,higher value -> less hazardous,approximate molecular surface area
GHS02_Flammable,Flammable (flame),4,NumHDonors,0.233505,-0.07345,-0.4765,higher value -> less hazardous,"number of hydrogen-bond donors (OH, NH groups)"
GHS02_Flammable,Flammable (flame),5,NHOHCount,0.181492,-0.073873,-0.37,higher value -> less hazardous,number of NH and OH groups
GHS02_Flammable,Flammable (flame),6,MolWt,0.172027,-0.122351,-0.5196,higher value -> less hazardous,average molecular mass
GHS02_Flammable,Flammable (flame),7,MACCS_131,0.169805,-0.109887,-0.828,higher value -> less hazardous,MACCS substructure key 131: matches SMARTS pattern [!#6;!#1;!H0]
GHS02_Flammable,Flammable (flame),8,ExactMolWt,0.161357,-0.122906,-0.5037,higher value -> less hazardous,monoisotopic molecular mass
GHS02_Flammable,Flammable (flame),9,Morgan_650,0.152775,-0.052726,-0.9659,higher value -> less hazardous,ECFP4 circular substructure bit 650 (radius 2 atom environment)
GHS02_Flammable,Flammable (flame),10,FractionCSP3,0.152108,-0.069067,0.9241,higher value -> more hazardous,fraction of carbons that are sp3 - three-dimensionality
GHS02_Flammable,Flammable (flame),11,Morgan_356,0.138924,-0.059179,-0.9511,higher value -> less hazardous,ECFP4 circular substructure bit 356 (radius 2 atom environment)
GHS02_Flammable,Flammable (flame),12,MACCS_103,0.120147,-0.028014,-0.9699,higher value -> less hazardous,MACCS substructure key 103: matches SMARTS pattern Cl
GHS02_Flammable,Flammable (flame),13,Chi4n,0.117017,-0.087387,-0.3566,higher value -> less hazardous,fourth-order connectivity index
GHS02_Flammable,Flammable (flame),14,NumHeteroatoms,0.090413,-0.023964,0.2594,higher value -> more hazardous,number of atoms that are neither carbon nor hydrogen
GHS02_Flammable,Flammable (flame),15,MACCS_154,0.087076,-0.030397,-0.956,higher value -> less hazardous,MACCS substructure key 154: matches SMARTS pattern [#6]=[#8]
GHS02_Flammable,Flammable (flame),16,MACCS_88,0.087028,0.000504,-0.9806,higher value -> less hazardous,MACCS substructure key 88: matches SMARTS pattern [#16]
GHS02_Flammable,Flammable (flame),17,RingCount,0.084934,-0.024075,-0.5217,higher value -> less hazardous,total number of rings
GHS02_Flammable,Flammable (flame),18,MACCS_124,0.083471,-0.022454,0.9159,higher value -> more hazardous,MACCS substructure key 124: matches SMARTS pattern [!#6;!#1]~[!#6;!#1]
GHS02_Flammable,Flammable (flame),19,MACCS_149,0.081658,-0.008876,0.9357,higher value -> more hazardous,"MACCS substructure key 149: matches SMARTS pattern [C;H3,H4]"
GHS02_Flammable,Flammable (flame),20,Chi3n,0.080891,-0.054113,-0.4797,higher value -> less hazardous,third-order connectivity index
GHS03_Oxidising,Oxidiser (flame over circle),1,Chi3n,0.952689,-0.900104,-0.1573,higher value -> less hazardous,third-order connectivity index
GHS03_Oxidising,Oxidiser (flame over circle),2,MACCS_102,0.77605,-0.539722,0.9764,higher value -> more hazardous,MACCS substructure key 102: matches SMARTS pattern [!#6;!#1]~[#8]
GHS03_Oxidising,Oxidiser (flame over circle),3,TPSA,0.611993,-0.58199,0.4994,higher value -> more hazardous,topological polar surface area - the size of the polar region
