Model,GHS_Column,Pictogram_Code,Actual_Meaning,Threshold_Type,Threshold_Value,N_Test,N_Test_Positive,AUC_ROC,Average_Precision,F1,MCC,Precision,Recall,Specificity,TN,FP,FN,TP,AUC_bootstrap_mean,AUC_CI95_lower,AUC_CI95_upper
RandomForest,GHS01_Explosive,GHS01,Explosive (exploding bomb),default_0.5,0.5,24352,18,0.9722,0.1184,0.0576,0.1277,0.0304,0.5556,0.9869,24015,319,8,10,0.9725,0.9518,0.9889
RandomForest,GHS01_Explosive,GHS01,Explosive (exploding bomb),calibrated_F1,0.879101,24352,18,0.9722,0.1184,0.1379,0.1416,0.1818,0.1111,0.9996,24325,9,16,2,0.9725,0.9518,0.9889
RandomForest,GHS01_Explosive,GHS01,Explosive (exploding bomb),safety_recall90,0.152825,24352,18,0.9722,0.1184,0.0101,0.0659,0.0051,1.0,0.855,20806,3528,0,18,0.9725,0.9518,0.9889
RandomForest,GHS02_Flammable,GHS02,Flammable (flame),default_0.5,0.5,24352,1063,0.952,0.6242,0.3864,0.433,0.2456,0.9059,0.873,20331,2958,100,963,0.9521,0.9457,0.9581
RandomForest,GHS02_Flammable,GHS02,Flammable (flame),calibrated_F1,0.797954,24352,1063,0.952,0.6242,0.589,0.5702,0.5882,0.5898,0.9811,22850,439,436,627,0.9521,0.9457,0.9581
RandomForest,GHS02_Flammable,GHS02,Flammable (flame),safety_recall90,0.497792,24352,1063,0.952,0.6242,0.385,0.4321,0.2443,0.9078,0.8718,20304,2985,98,965,0.9521,0.9457,0.9581
RandomForest,GHS03_Oxidising,GHS03,Oxidiser (flame over circle),default_0.5,0.5,24352,41,0.9321,0.4208,0.1187,0.2038,0.0652,0.6585,0.9841,23924,387,14,27,0.9336,0.8751,0.978
RandomForest,GHS03_Oxidising,GHS03,Oxidiser (flame over circle),calibrated_F1,0.93163,24352,41,0.9321,0.4208,0.42,0.4258,0.3559,0.5122,0.9984,24273,38,20,21,0.9336,0.8751,0.978
RandomForest,GHS03_Oxidising,GHS03,Oxidiser (flame over circle),safety_recall90,0.205989,24352,41,0.9321,0.4208,0.0393,0.1229,0.0201,0.8293,0.932,22657,1654,7,34,0.9336,0.8751,0.978
RandomForest,GHS04_CompressedGas,GHS04,Compressed gas (gas cylinder),default_0.5,0.5,24352,28,0.9726,0.5792,0.1289,0.256,0.0691,0.9643,0.985,23960,364,1,27,0.9732,0.9102,0.9994
RandomForest,GHS04_CompressedGas,GHS04,Compressed gas (gas cylinder),calibrated_F1,0.96652,24352,28,0.9726,0.5792,0.4889,0.5038,0.6471,0.3929,0.9998,24318,6,17,11,0.9732,0.9102,0.9994
RandomForest,GHS04_CompressedGas,GHS04,Compressed gas (gas cylinder),safety_recall90,0.851522,24352,28,0.9726,0.5792,0.4107,0.4733,0.2738,0.8214,0.9975,24263,61,5,23,0.9732,0.9102,0.9994
RandomForest,GHS05_Corrosive,GHS05,Corrosive (corrosion),default_0.5,0.5,24352,4333,0.8448,0.6571,0.5482,0.4422,0.44,0.7272,0.7996,16008,4011,1182,3151,0.8448,0.8378,0.8513
RandomForest,GHS05_Corrosive,GHS05,Corrosive (corrosion),calibrated_F1,0.561174,24352,4333,0.8448,0.6571,0.5901,0.4961,0.5568,0.6275,0.8919,17855,2164,1614,2719,0.8448,0.8378,0.8513
RandomForest,GHS05_Corrosive,GHS05,Corrosive (corrosion),safety_recall90,0.351714,24352,4333,0.8448,0.6571,0.4147,0.2919,0.2685,0.91,0.4635,9278,10741,390,3943,0.8448,0.8378,0.8513
RandomForest,GHS06_AcuteToxicity,GHS06,Acute toxicity (skull and crossbones),default_0.5,0.5,24352,1520,0.802,0.2487,0.269,0.2507,0.1687,0.6638,0.7822,17860,4972,511,1009,0.802,0.7905,0.813
RandomForest,GHS06_AcuteToxicity,GHS06,Acute toxicity (skull and crossbones),calibrated_F1,0.601884,24352,1520,0.802,0.2487,0.3162,0.2669,0.2778,0.3671,0.9364,21381,1451,962,558,0.802,0.7905,0.813
RandomForest,GHS06_AcuteToxicity,GHS06,Acute toxicity (skull and crossbones),safety_recall90,0.369084,24352,1520,0.802,0.2487,0.189,0.185,0.106,0.8717,0.5106,11658,11174,195,1325,0.802,0.7905,0.813
RandomForest,GHS07_Irritant,GHS07,Irritant / harmful (exclamation mark),default_0.5,0.5,24352,21967,0.8061,0.9718,0.8518,0.3029,0.9579,0.7668,0.6897,1645,740,5123,16844,0.8059,0.7978,0.8143
RandomForest,GHS07_Irritant,GHS07,Irritant / harmful (exclamation mark),calibrated_F1,0.232387,24352,21967,0.8061,0.9718,0.9491,0.1748,0.9077,0.9945,0.0688,164,2221,121,21846,0.8059,0.7978,0.8143
RandomForest,GHS07_Irritant,GHS07,Irritant / harmful (exclamation mark),safety_recall90,0.354999,24352,21967,0.8061,0.9718,0.9242,0.2804,0.9317,0.9168,0.3811,909,1476,1828,20139,0.8059,0.7978,0.8143
RandomForest,GHS08_HealthHazard,GHS08,Serious health hazard (health hazard),default_0.5,0.5,24352,1360,0.8645,0.3053,0.311,0.3109,0.1992,0.7088,0.8314,19116,3876,396,964,0.8648,0.8559,0.8733
RandomForest,GHS08_HealthHazard,GHS08,Serious health hazard (health hazard),calibrated_F1,0.686155,24352,1360,0.8645,0.3053,0.363,0.324,0.3492,0.3779,0.9583,22034,958,846,514,0.8648,0.8559,0.8733
RandomForest,GHS08_HealthHazard,GHS08,Serious health hazard (health hazard),safety_recall90,0.37313,24352,1360,0.8645,0.3053,0.2326,0.2605,0.1338,0.8875,0.6603,15181,7811,153,1207,0.8648,0.8559,0.8733
RandomForest,GHS09_Environmental,GHS09,Environmental hazard (environment),default_0.5,0.5,24352,1773,0.8637,0.3834,0.3791,0.3644,0.2538,0.749,0.8271,18674,3905,445,1328,0.8637,0.8553,0.8721
RandomForest,GHS09_Environmental,GHS09,Environmental hazard (environment),calibrated_F1,0.664859,24352,1773,0.8637,0.3834,0.4149,0.3662,0.3812,0.4552,0.942,21269,1310,966,807,0.8637,0.8553,0.8721
RandomForest,GHS09_Environmental,GHS09,Environmental hazard (environment),safety_recall90,0.412591,24352,1773,0.8637,0.3834,0.3318,0.3325,0.2072,0.8319,0.7501,16936,5643,298,1475,0.8637,0.8553,0.8721
XGBoost,GHS01_Explosive,GHS01,Explosive (exploding bomb),default_0.5,0.5,24352,18,0.9859,0.1507,0.0785,0.1713,0.0415,0.7222,0.9877,24034,300,5,13,0.986,0.9743,0.9953
XGBoost,GHS01_Explosive,GHS01,Explosive (exploding bomb),calibrated_F1,0.912269,24352,18,0.9859,0.1507,0.1818,0.2355,0.5,0.1111,0.9999,24332,2,16,2,0.986,0.9743,0.9953
XGBoost,GHS01_Explosive,GHS01,Explosive (exploding bomb),safety_recall90,0.067481,24352,18,0.9859,0.1507,0.0022,0.019,0.0011,1.0,0.3274,7966,16368,0,18,0.986,0.9743,0.9953
XGBoost,GHS02_Flammable,GHS02,Flammable (flame),default_0.5,0.5,24352,1063,0.9708,0.7552,0.5427,0.5638,0.3907,0.8881,0.9368,21817,1472,119,944,0.9707,0.9654,0.9751
