Feature,GHS01_Explosive,GHS02_Flammable,GHS03_Oxidising,GHS04_CompressedGas,GHS05_Corrosive,GHS06_AcuteToxicity,GHS07_Irritant,GHS08_HealthHazard,GHS09_Environmental,Mean_across_all_classes
LabuteASA,0.005166306,0.43960863,0.22990663,1.3558183,0.009083958,0.007991135,0.13756981,0.06138841,0.2548804,0.27793488
TPSA,0.27503827,0.54082716,0.6119931,0.66186464,0.08478885,0.026777724,0.042062823,0.14088717,0.07174609,0.27288732
Kappa2,0.003564245,0.06752992,0.29665384,1.7904801,0.012738597,0.0064414935,0.038929183,0.057917655,0.09892917,0.26368716
Chi4n,0.0168402,0.117017426,0.3501117,1.5397841,0.017204752,0.03149221,0.04398259,0.17576924,0.058113564,0.2611462
BertzCT,0.016703906,0.64903617,0.28168467,0.6232904,0.34521312,0.029484535,0.11732016,0.050915282,0.049251728,0.24032222
Chi3n,0.021679582,0.080890864,0.95268905,0.5379599,0.01426143,0.07676315,0.04216313,0.08348747,0.05552144,0.20726845
MolLogP,0.02471356,0.035772093,0.37348306,0.52071106,0.03408471,0.013610154,0.11546756,0.029544111,0.37843102,0.16953526
ExactMolWt,0.0041662115,0.16135657,0.16002566,0.7481503,0.016320722,0.17127213,0.044717323,0.06465202,0.057771847,0.15871474
MolWt,0.013566527,0.17202652,0.2039153,0.76710135,0.011032091,0.032214552,0.05693469,0.060529068,0.043050896,0.15115233
Chi2n,0.07528142,0.03814535,0.15066914,0.6846765,0.018381808,0.0675174,0.016002664,0.09944009,0.04470025,0.13275719
Kappa3,0.070183426,0.056799922,0.44673654,0.4480493,0.011277333,0.006662052,0.014244243,0.019304186,0.025917653,0.1221305
MACCS_124,0.49089092,0.08347116,0.4551763,0.037539124,0.003945746,0.00351566,0.006236396,0.00081701594,0.009392041,0.121220484
NumHDonors,0.0043424284,0.2335049,0.17614494,0.41758066,0.024974376,0.012016218,0.09039725,0.12137788,0.010287887,0.121180736
BalabanJ,0.027446013,0.06254434,0.36583862,0.37509742,0.08637107,0.052651886,0.029766392,0.053680092,0.037090275,0.12116513
FractionCSP3,0.025958018,0.15210792,0.4053659,0.21709228,0.067204855,0.02487996,0.031092139,0.058271263,0.10221644,0.12046543
MACCS_102,0.14056915,0.013084174,0.7760504,0.015425992,0.0019694509,0.00045532384,0.00069219456,0.0016708664,0.0017022942,0.10573553
MACCS_137,0.01948204,0.06321308,0.058714826,0.121801205,0.004013888,0.047351614,0.15367919,0.02608969,0.358769,0.09479051
Chi1,0.003312887,0.045427535,0.13726898,0.018557945,0.009985814,0.044922344,0.16439807,0.10684353,0.30195013,0.09251858
MACCS_70,0.55365986,0.07482985,0.14343107,0.0115626175,0.0010830192,0.0002028766,0.007434845,0.005511451,1.8371544e-05,0.08863711
NumHeteroatoms,0.008474713,0.09041349,0.07361059,0.38289696,0.039114345,0.007870958,0.046305355,0.07350023,0.063600466,0.08730968
NumRotatableBonds,0.0025826446,0.014289846,0.14523832,0.46730062,0.022225974,0.0094834585,0.017536715,0.052859344,0.05370952,0.08724739
NHOHCount,0.01272272,0.18149194,0.18091539,0.22425786,0.027123619,0.025909333,0.027106592,0.051837202,0.03276592,0.08490339
Kappa1,0.008091348,0.026946407,0.22736196,0.2919742,0.015205452,0.016862672,0.017607313,0.071567826,0.03393005,0.07883859
RingCount,0.005707453,0.08493375,0.03339436,0.21662515,0.09247676,0.0062428345,0.10531717,0.07165204,0.031010035,0.07192884
MACCS_31,0.002460968,0.0057782773,0.37577844,0.0026051842,0.15343219,0.002939957,0.060578376,0.010394238,0.028486867,0.07138382
NumHAcceptors,0.027607955,0.03305524,0.18215176,0.29275537,0.014226873,0.0054111215,0.017865065,0.030185524,0.03127168,0.0705034
Morgan_514,0.03502813,0.04994874,0.024411619,0.0038152637,0.23570141,0.023338282,0.0980456,0.020612376,0.12151976,0.0680468
MACCS_44,0.0016495343,0.030153342,0.17999423,0.116237044,0.007375572,0.008328325,0.029248547,0.07920746,0.11223158,0.06271395
Morgan_356,0.0,0.13892391,0.02425915,0.29465583,0.06106967,0.0026964168,0.002863258,0.007997679,0.00035125052,0.059201904
MACCS_49,0.06707284,0.038135804,0.2721998,0.08519968,0.010957189,0.0019665477,0.011801988,0.013164039,0.012478891,0.05699742
NumAromaticRings,0.013146528,0.034599658,0.014167831,0.23934811,0.03457799,0.005711695,0.011302915,0.00792909,0.12896167,0.054416165
MACCS_154,0.034542516,0.08707638,0.06766435,0.0518609,0.12327979,0.018027013,0.058368403,0.019631675,0.01595152,0.05293362
MACCS_88,0.023446407,0.087028496,0.23442076,0.09053772,0.0029351036,0.0014316947,0.016191574,0.007568538,0.012767716,0.052925333
MACCS_139,0.0005095747,0.050988346,0.044847433,0.18364534,0.09142867,0.0052985204,0.05244919,0.014337691,0.027250135,0.0523061
MACCS_153,0.008117309,0.046296693,0.05837449,0.20759134,0.11364616,0.006585452,0.012955171,0.011460147,0.0021345112,0.05190681
Morgan_378,0.006281072,0.011124151,0.22134273,0.02290502,0.0057828175,0.023520602,0.0033553722,0.052144077,0.07892414,0.04726444
MACCS_121,0.029436087,0.07932859,0.02895254,0.0074478607,0.0059176106,0.009830506,0.09786523,0.11888935,0.04705384,0.047191292
